customerID,invoiceNumber,InvoiceDate,DueDate,InvoiceAmount,countryCode,is_disputed,invoice_seq,prior_late_count,prior_invoice_count,prior_late_rate,prior_avg_amount,prior_disputes,is_paperless,target_late,split
0187-ERLSR,4037644863,3/29/2012,4/28/2012,62.68,391,1,0,0,0,-1.0,-1.0,0,0,0,train
0187-ERLSR,9471530987,5/15/2012,6/14/2012,77.19,391,0,1,0,1,0.0,62.68000000000001,1,0,0,train
0187-ERLSR,9744145268,5/21/2012,6/20/2012,51.65,391,0,2,0,2,0.0,69.935,1,0,0,train
0187-ERLSR,7214076449,6/16/2012,7/16/2012,64.47,391,1,3,0,3,0.0,63.84,1,0,0,train
0187-ERLSR,1756742390,9/5/2012,10/5/2012,84.57,391,0,4,0,4,0.0,63.9975,2,0,0,train
0187-ERLSR,4063317759,9/22/2012,10/22/2012,65.26,391,1,5,0,5,0.0,68.112,2,0,0,train
0187-ERLSR,4910161169,12/6/2012,1/5/2013,59.0,391,0,6,0,6,0.0,67.63666666666667,3,0,0,train
0187-ERLSR,4160638076,2/16/2013,3/18/2013,56.5,391,1,7,0,7,0.0,66.40285714285714,3,0,0,train
0187-ERLSR,5995302563,3/4/2013,4/3/2013,31.72,391,0,8,0,8,0.0,65.16499999999999,4,0,0,train
0187-ERLSR,8350497297,3/16/2013,4/15/2013,73.27,391,1,9,0,9,0.0,61.44888888888889,4,0,0,train
0187-ERLSR,4814212537,3/22/2013,4/21/2013,86.92,391,0,10,0,10,0.0,62.63100000000001,5,0,0,train
0187-ERLSR,6018471272,5/7/2013,6/6/2013,79.87,391,0,11,0,11,0.0,64.83909090909091,5,0,0,validation
0187-ERLSR,6637423646,5/25/2013,6/24/2013,53.59,391,0,12,0,12,0.0,66.09166666666667,5,0,0,validation
0187-ERLSR,5219455796,10/17/2013,11/16/2013,77.19,391,0,13,0,13,0.0,65.13000000000001,5,1,0,test
0187-ERLSR,5759027335,11/11/2013,12/11/2013,83.18,391,1,14,0,14,0.0,65.99142857142859,5,1,0,test
0187-ERLSR,6279951505,11/25/2013,12/25/2013,65.57,391,1,15,0,15,0.0,67.13733333333334,6,1,0,test
0379-NEVHP,2998565198,2/12/2012,3/13/2012,28.21,391,0,0,0,0,-1.0,-1.0,0,0,0,train
0379-NEVHP,3819986935,3/1/2012,3/31/2012,48.65,391,1,1,0,1,0.0,28.21,0,0,1,train
0379-NEVHP,9814992757,3/20/2012,4/19/2012,103.64,391,0,2,1,2,0.5,38.43,1,0,0,train
0379-NEVHP,5051186703,7/1/2012,7/31/2012,42.25,391,0,3,1,3,0.3333333333333333,60.166666666666664,1,0,0,train
0379-NEVHP,869802822,9/1/2012,10/1/2012,69.55,391,0,4,1,4,0.25,55.6875,1,0,0,train
0379-NEVHP,6164052759,9/10/2012,10/10/2012,72.97,391,0,5,1,5,0.2,58.459999999999994,1,0,0,train
0379-NEVHP,3399547582,10/24/2012,11/23/2012,50.7,391,0,6,1,6,0.16666666666666666,60.87833333333334,1,0,0,train
0379-NEVHP,281287578,10/28/2012,11/27/2012,76.81,391,0,7,1,7,0.14285714285714285,59.42428571428571,1,0,0,train
0379-NEVHP,9091156209,12/3/2012,1/2/2013,52.47,391,0,8,1,8,0.125,61.5975,1,0,0,train
0379-NEVHP,611365,1/2/2013,2/1/2013,55.94,391,0,9,1,9,0.1111111111111111,60.583333333333336,1,0,0,train
0379-NEVHP,1369975903,1/5/2013,2/4/2013,61.11,391,0,10,1,10,0.1,60.11899999999999,1,0,0,train
0379-NEVHP,5786890759,1/9/2013,2/8/2013,34.41,391,0,11,1,11,0.09090909090909091,60.20909090909092,1,0,0,train
